visible_world,position,can_shoot,holding_flag,action,direction
"[['#', 'x', 'x', 'x', 'x', 'b', 'x', '#', 'x'], ['/', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '/'], ['/', '/', 'x', '{', 'x', 'x', 'x', '/', '/'], ['#', '/', '#', 'x', 'x', 'x', '#', '/', 'x'], ['/', '#', 'x', 'x', 'b', 'x', 'x', 'x', 'x'], ['/', '#', 'x', 'x', '#', '#', 'x', 'x', 'x'], ['/', 'x', 'x', '/', '/', '/', '/', '/', '#'], ['#', '#', '#', '/', '/', '/', '/', '/', '/'], ['/', '/', '/', '/', '/', '/', '/', '/', '/']]","(4, 17)",True,,shoot,right
"[['#', 'x', 'x', 'x', 'x', 'x', 'b', '#', 'x'], ['/', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '/'], ['/', '/', 'x', '{', 'x', 'x', 'x', '/', '/'], ['#', '/', '#', 'x', 'x', 'x', '#', '/', 'x'], ['/', '#', 'x', 'x', 'b', 'x', 'x', 'x', '.'], ['/', '#', 'x', 'x', '#', '#', 'x', 'x', 'x'], ['/', 'x', 'x', '/', '/', '/', '/', '/', '#'], ['#', '#', '#', '/', '/', '/', '/', '/', '/'], ['/', '/', '/', '/', '/', '/', '/', '/', '/']]","(4, 17)",False,,move,down
"[['#', 'x', 'x', 'x', 'x', 'x', 'b', '#', 'x'], ['/', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '/'], ['/', '/', 'x', '{', 'x', 'x', 'x', '/', '/'], ['#', '/', '#', 'x', 'x', 'x', '#', '/', 'x'], ['/', '#', 'x', 'x', 'b', 'x', 'x', 'x', 'x'], ['/', '#', 'x', 'x', '#', '#', 'x', 'x', 'x'], ['/', 'x', 'x', '/', '/', '/', '/', '/', '#'], ['#', '#', '#', '/', '/', '/', '/', '/', '/'], ['/', '/', '/', '/', '/', '/', '/', '/', '/']]","(4, 17)",False,,move,left
"[['/', '/', 'x', 'x', 'x', 'x', 'x', 'b', '#'], ['/', '/', '/', 'x', 'x', 'x', 'x', 'x', 'x'], ['/', '/', '/', 'x', '{', 'x', 'x', 'x', '/'], ['/', '#', 'x', '#', 'x', 'x', 'x', '#', '/'], ['/', '/', '#', 'x', 'b', 'x', 'x', 'x', 'x'], ['/', '/', '#', 'x', 'x', '#', '#', '/', 'x'], ['/', '/', 'x', 'x', 'x', '#', '/', '/', '/'], ['/', '#', '#', '#', 'x', '/', '/', '/', '/'], ['/', '/', '/', '/', '#', 'x', '/', '/', '/']]","(3, 17)",False,,move,right
"[['#', 'x', 'x', 'x', 'x', 'x', 'b', '#', 'x'], ['/', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '/'], ['/', '/', 'x', '{', 'x', 'x', 'x', '/', '/'], ['#', '/', '#', 'x', 'x', 'x', '#', '/', 'x'], ['/', '#', 'x', 'x', 'b', 'x', 'x', 'x', 'x'], ['/', '#', 'x', 'x', '#', '#', 'x', 'x', 'x'], ['/', 'x', 'x', '/', '/', '/', '/', '/', '#'], ['#', '#', '#', '/', '/', '/', '/', '/', '/'], ['/', '/', '/', '/', '/', '/', '/', '/', '/']]","(4, 17)",True,,move,right
"[['x', 'x', 'x', 'x', 'x', 'x', '#', '/', '/'], ['x', 'x', 'x', 'x', 'x', 'b', '/', '/', '/'], ['/', 'x', '{', 'x', 'x', 'x', '/', '/', '/'], ['/', '#', 'x', 'x', 'x', '#', '#', '/', '#'], ['#', 'x', 'x', 'x', 'b', 'x', 'x', 'x', 'x'], ['#', 'x', 'x', '#', '#', 'x', 'x', 'x', 'x'], ['x', '/', '/', '/', '/', '/', 'x', '#', 'x'], ['/', '/', '/', '/', '/', '/', 'x', '#', '/'], ['/', '/', '/', '/', '/', '/', '/', '#', '/']]","(5, 17)",True,,move,right
"[['x', 'x', '/', '/', '/', '/', '/', '/', '/'], ['x', 'x', 'x', '/', '/', '/', '/', '/', '/'], ['x', '{', 'x', '/', '/', '/', '/', '/', '/'], ['#', 'x', 'x', 'x', '#', '#', 'x', '#', '/'], ['x', 'x', 'x', 'x', 'b', 'x', 'x', 'x', '#'], ['x', '/', '#', '#', 'x', 'x', 'x', 'x', 'x'], ['/', '/', '/', 'x', 'x', 'x', '#', 'x', 'x'], ['/', '/', '/', 'b', '#', 'x', '#', '/', 'x'], ['/', '/', 'x', 'x', '/', 'x', '#', '/', '/']]","(6, 17)",True,,move,right
"[['/', '/', '/', '/', '/', '/', '/', 'x', 'x'], ['/', '/', '/', '/', '/', '/', 'x', 'x', '/'], ['{', '/', '/', '/', '/', '/', 'x', '/', '/'], ['x', 'x', 'x', '#', '#', 'x', '#', '/', 'x'], ['x', 'x', 'x', 'x', 'b', 'x', 'x', '#', '/'], ['/', '/', '#', 'x', 'x', 'x', 'x', 'x', 'x'], ['/', '/', 'x', 'x', 'x', '#', 'x', 'x', '#'], ['/', 'x', 'x', '#', 'x', '/', '/', 'x', 'x'], ['#', 'x', '/', '/', 'x', '#', '/', '/', '#']]","(7, 17)",True,,shoot,right
"[['/', '/', '/', '/', '/', '/', '/', 'x', 'x'], ['/', '/', '/', '/', '/', '/', 'x', 'x', '/'], ['{', '/', '/', '/', '/', '/', 'x', '/', '/'], ['x', 'x', 'x', '#', '#', 'x', '#', '/', 'x'], ['x', 'x', 'x', 'x', 'b', 'x', 'x', '#', '/'], ['/', '/', '#', 'x', 'x', 'x', 'x', 'x', 'x'], ['/', '/', 'x', 'x', 'x', '#', 'x', 'x', '#'], ['/', 'x', 'x', '#', 'x', '/', '/', 'x', 'x'], ['#', 'x', '/', '/', 'x', '#', '/', '/', '#']]","(7, 17)",False,,move,right
"[['/', '/', '/', '#', 'x', 'x', 'x', '/', '/'], ['/', '/', '/', '/', 'x', 'x', '/', '/', '/'], ['/', '/', '/', '#', 'x', 'x', '/', '/', 'x'], ['x', '/', '#', '#', 'x', '#', 'x', 'x', '/'], ['x', 'x', 'x', 'x', 'b', 'x', '#', '/', '/'], ['/', '#', 'x', 'x', 'x', 'x', 'x', 'x', '/'], ['/', 'x', 'x', 'x', '#', 'x', 'x', '#', 'x'], ['x', 'x', '#', 'x', '/', 'x', 'x', 'x', '/'], ['x', '/', 'x', '/', '/', '/', 'x', '#', 'x']]","(8, 17)",False,,move,down
"[['/', '/', '/', '/', 'x', 'x', '/', '/', '/'], ['x', '/', '/', '/', 'x', '/', '/', '#', '/'], ['x', 'x', '#', '#', 'x', '#', 'x', '/', '/'], ['x', 'x', 'x', 'x', 'x', 'x', '#', '/', '#'], ['/', '#', 'x', 'x', 'b', 'x', 'x', 'x', '#'], ['#', 'x', 'x', 'x', '#', 'x', 'x', '#', '/'], ['x', 'x', '#', '/', '/', '/', 'x', 'x', '/'], ['x', '/', 'x', '/', '/', '/', 'x', '#', 'x'], ['/', 'x', '/', '/', '/', '/', '/', 'x', '/']]","(8, 18)",False,,move,right
"[['/', '/', 'x', '/', '/', '/', '#', '/', '/'], ['/', '/', '#', 'x', '/', 'x', '/', '/', '/'], ['x', '#', '#', 'x', '#', 'x', '/', '/', '/'], ['x', 'x', 'x', 'x', 'x', '#', 'x', '#', '/'], ['#', 'x', 'x', 'x', 'b', 'x', 'x', '#', '/'], ['x', 'x', 'x', '#', 'x', 'x', '#', '/', 'x'], ['x', '/', '/', '#', 'x', 'x', 'x', '/', '/'], ['/', '/', '/', '/', 'x', 'x', '#', 'x', '/'], ['/', '/', '/', 'x', 'x', 'x', 'x', '/', 'x']]","(9, 18)",True,,shoot,right
"[['/', '/', 'x', '/', '/', '/', '#', '/', '/'], ['/', '/', '#', 'x', '/', 'x', '/', '/', '/'], ['x', '#', '#', 'x', '#', 'x', '/', '/', '/'], ['x', 'x', 'x', 'x', 'x', '#', 'x', '#', '/'], ['#', 'x', 'x', 'x', 'b', 'x', 'x', '#', '/'], ['x', 'x', 'x', '#', 'x', 'x', '#', '/', 'x'], ['x', '/', '/', '#', 'x', 'x', 'x', '/', '/'], ['/', '/', '/', '/', 'x', 'x', '#', 'x', '/'], ['/', '/', '/', 'x', 'x', 'x', 'x', '/', 'x']]","(9, 18)",False,,move,right
"[['/', '/', '/', '/', '/', '/', '/', 'x', '/'], ['/', '#', '/', '/', '/', '/', 'x', '#', '/'], ['#', '#', 'x', '/', '/', '/', 'x', '/', '/'], ['x', 'x', 'x', 'x', '#', 'x', '#', '/', '/'], ['x', 'x', 'x', 'x', 'b', 'x', '#', '/', '/'], ['x', '/', '#', 'x', 'x', '#', 'x', 'x', '/'], ['/', '/', '#', 'x', 'x', 'x', '/', '/', 'x'], ['/', '/', '#', 'x', 'x', '#', '/', '/', '/'], ['/', '/', 'x', 'x', 'x', '/', '/', '/', '/']]","(10, 18)",False,,move,right
"[['/', '/', 'x', 'x', '/', 'x', 'x', '/', '/'], ['/', '/', '/', 'x', '#', 'x', '/', '/', '/'], ['#', '/', '/', 'x', 'x', 'x', '/', '/', '/'], ['.', 'x', 'x', '#', 'x', '#', '/', '/', '/'], ['x', 'x', 'x', 'x', 'b', '#', '/', '/', '/'], ['/', '#', 'x', 'x', '#', 'x', '/', '/', '/'], ['/', '#', 'x', '/', '/', '/', 'x', 'x', '/'], ['/', '#', 'x', '/', '/', '/', 'x', 'x', 'x'], ['/', 'x', '/', '/', '/', '/', '/', 'x', 'x']]","(11, 18)",False,,move,left
"[['/', '/', '/', '/', '/', '/', '/', 'x', '/'], ['/', '#', '/', '/', '/', '/', 'x', '#', '/'], ['#', '#', 'x', '/', '/', '/', 'x', '/', '/'], ['x', 'x', 'x', 'x', '#', 'x', '#', '/', '/'], ['x', 'x', 'x', 'x', 'b', 'x', '#', '/', '/'], ['x', '/', '#', 'x', 'x', '#', 'x', 'x', '/'], ['/', '/', '#', 'x', 'x', 'x', '/', '/', 'x'], ['/', '/', '#', 'x', 'x', '#', '/', '/', '/'], ['/', '/', 'x', 'x', 'x', '/', '/', '/', '/']]","(10, 18)",True,,shoot,down
"[['/', '/', '/', '/', '/', '/', '/', 'x', '/'], ['/', '#', '/', '/', '/', '/', 'x', '#', '/'], ['#', '#', 'x', '/', '/', '/', 'x', '/', '/'], ['x', 'x', 'x', 'x', '#', 'x', '#', '/', '/'], ['x', 'x', 'x', 'x', 'b', 'x', '#', '/', '/'], ['x', '/', '#', 'x', 'x', '#', 'x', 'x', '/'], ['/', '/', '#', 'x', 'x', 'x', '/', '/', 'x'], ['/', '/', '#', 'x', 'x', '#', '/', '/', '/'], ['/', '/', 'x', 'x', '.', '/', '/', '/', '/']]","(10, 18)",False,,move,up
"[['/', '/', '/', '/', '/', '/', '/', 'x', '/'], ['/', '#', '/', '/', '/', '/', 'x', '#', '/'], ['#', '#', 'x', '/', '/', '/', 'x', '/', '/'], ['x', 'x', 'x', 'x', '#', 'x', '#', '/', '/'], ['x', 'x', 'x', 'x', 'b', 'x', '#', '/', '/'], ['x', '/', '#', 'x', 'x', '#', 'x', 'x', '/'], ['/', '/', '#', 'x', 'x', 'x', '/', '/', 'x'], ['/', '/', '#', 'x', 'x', '#', '/', '/', '/'], ['/', '/', 'x', 'x', 'x', '/', '/', '/', '/']]","(10, 18)",False,,move,left
"[['/', '/', 'x', '/', '/', '/', '#', '/', '/'], ['/', '/', '#', 'x', '/', 'x', '/', '/', '/'], ['x', '#', '#', 'x', '#', 'x', '/', '/', '/'], ['x', 'x', 'x', 'x', 'x', '#', 'x', '#', '/'], ['#', 'x', 'x', 'x', 'b', 'x', 'x', '#', '/'], ['x', 'x', 'x', '#', 'x', 'x', '#', '/', 'x'], ['x', '/', '/', '#', 'x', 'x', 'x', '/', '/'], ['/', '/', '/', '/', 'x', 'x', '#', 'x', '/'], ['/', '/', '/', 'x', 'x', 'x', 'x', '/', 'x']]","(9, 18)",False,,move,up
"[['/', 'x', '/', '/', '/', '/', '/', '/', '/'], ['/', '/', 'x', '/', '/', '/', '#', '/', 'x'], ['/', '/', '#', '/', '/', '/', '#', 'x', '/'], ['/', '/', '#', 'x', '#', 'x', '/', '/', '/'], ['x', 'x', 'x', 'x', 'b', '#', '/', '/', '/'], ['#', 'x', 'x', 'x', 'x', 'x', '/', '/', '/'], ['x', 'x', 'x', '#', 'x', 'x', '#', 'x', '/'], ['x', '#', '/', '/', 'x', 'x', 'x', '/', 'x'], ['/', '/', '/', '#', 'x', 'x', '#', 'x', '/']]","(9, 17)",True,,shoot,right
"[['/', 'x', '/', '/', '/', '/', '/', '/', '/'], ['/', '/', 'x', '/', '/', '/', '#', '/', 'x'], ['/', '/', '#', '/', '/', '/', '#', 'x', '/'], ['/', '/', '#', 'x', '#', 'x', '/', '/', '/'], ['x', 'x', 'x', 'x', 'b', '#', '/', '/', '/'], ['#', 'x', 'x', 'x', 'x', 'x', '/', '/', '/'], ['x', 'x', 'x', '#', 'x', 'x', '#', 'x', '/'], ['x', '#', '/', '/', 'x', 'x', 'x', '/', 'x'], ['/', '/', '/', '#', 'x', 'x', '#', 'x', '/']]","(9, 17)",False,,move,down
"[['/', '/', 'x', '/', '/', '/', '#', '/', '/'], ['/', '/', '#', 'x', '/', 'x', '/', '/', '/'], ['x', '#', '#', 'x', '#', 'x', '/', '/', '/'], ['x', 'x', 'x', 'x', 'x', '#', 'x', '#', '/'], ['#', 'x', 'x', 'x', 'b', 'x', 'x', '#', '/'], ['x', 'x', 'x', '#', 'x', 'x', '#', '/', 'x'], ['x', '/', '/', '#', 'x', 'x', 'x', '/', '/'], ['/', '/', '/', '/', 'x', 'x', '#', 'x', '/'], ['/', '/', '/', 'x', 'x', 'x', 'x', '/', 'x']]","(9, 18)",False,,move,left
"[['/', '/', '/', '/', 'x', 'x', '/', '/', '/'], ['x', '/', '/', '/', 'x', '/', '/', '#', '/'], ['x', 'x', '#', '#', 'x', '#', 'x', '/', '/'], ['x', 'x', 'x', 'x', 'x', 'x', '#', '/', '#'], ['/', '#', 'x', 'x', 'b', 'x', 'x', 'x', '#'], ['#', 'x', 'x', 'x', '#', 'x', 'x', '#', '/'], ['x', 'x', '#', '/', '/', '/', 'x', 'x', '/'], ['x', '/', 'x', '/', '/', '/', 'x', '#', 'x'], ['/', 'x', '/', '/', '/', '/', '/', 'x', '/']]","(8, 18)",False,,move,down
"[['/', '/', '/', '/', 'x', 'x', '/', '/', '/'], ['x', '/', '/', '/', 'x', '/', '/', '#', '/'], ['x', 'x', '#', '#', 'x', '#', 'x', '/', '/'], ['x', 'x', 'x', 'x', 'x', 'x', '#', '/', '#'], ['/', '#', 'x', 'x', 'b', 'x', 'x', 'x', '#'], ['#', 'x', 'x', 'x', '#', 'x', 'x', '#', '/'], ['x', 'x', '#', '/', '/', '/', 'x', 'x', '/'], ['x', '/', 'b', '/', '/', '/', 'x', '#', 'x'], ['/', 'x', '/', '/', '/', '/', '/', 'x', '/']]","(8, 18)",True,,shoot,down
"[['/', '/', '/', '/', 'x', 'x', '/', '/', '/'], ['x', '/', '/', '/', 'x', '/', '/', '#', '/'], ['x', 'x', '#', '#', 'x', '#', 'x', '/', '/'], ['x', 'x', 'x', 'x', 'x', 'x', '#', '/', '#'], ['/', '#', 'x', 'x', 'b', 'x', 'x', 'x', '#'], ['#', 'x', 'x', 'x', '#', 'x', 'x', '#', '/'], ['x', 'x', '#', '/', '/', '/', 'x', 'x', '/'], ['x', '/', 'b', '/', '/', '/', 'x', '#', 'x'], ['/', 'x', '/', '/', '/', '/', '/', 'x', '/']]","(8, 18)",False,,move,down
"[['/', '/', '/', '/', 'x', 'x', '/', '/', '/'], ['x', '/', '/', '/', 'x', '/', '/', '#', '/'], ['x', 'x', '#', '#', 'x', '#', 'x', '/', '/'], ['x', 'x', 'x', 'x', 'x', 'x', '#', '/', '#'], ['/', '#', 'x', 'x', 'b', 'x', 'x', 'x', '#'], ['#', 'x', 'x', 'x', '#', 'x', 'x', '#', '/'], ['x', 'x', '#', '/', '/', '/', 'x', 'x', '/'], ['x', '/', 'x', '/', '/', '/', 'x', '#', 'x'], ['/', 'x', '/', '/', '/', '/', '/', 'x', '/']]","(8, 18)",False,,move,left
"[['x', '/', '/', '/', '/', '/', 'x', 'x', '/'], ['{', 'x', '/', '/', '/', 'x', 'x', '/', '#'], ['x', 'x', 'x', '#', '#', 'x', '#', 'x', '/'], ['/', 'x', 'x', 'x', 'x', 'x', 'x', '#', '/'], ['/', '/', '#', 'x', 'b', 'x', 'x', 'x', 'x'], ['/', '#', 'x', 'x', 'x', '#', 'x', 'x', '#'], ['/', 'x', 'x', '#', 'x', '#', '/', '/', 'x'], ['#', 'x', '/', '/', 'x', '/', '/', '/', '/'], ['x', '/', '/', 'b', 'x', 'x', '/', '/', '/']]","(7, 18)",False,,move,right
"[['/', '/', '/', '/', 'x', 'x', '/', '/', '/'], ['x', '/', '/', '/', 'x', '/', '/', '#', '/'], ['x', 'x', '#', '#', 'x', '#', 'x', '/', '/'], ['x', 'x', 'x', 'x', 'x', 'x', '#', '/', '#'], ['/', '#', 'x', 'x', 'b', 'x', 'x', 'x', '#'], ['#', 'x', 'x', 'x', '#', 'x', 'x', '#', '/'], ['x', 'x', '#', '/', '/', '/', 'x', 'x', '/'], ['x', '/', 'x', '/', '/', '/', 'x', '#', 'x'], ['/', 'x', '/', '/', '/', '/', '/', 'x', '/']]","(8, 18)",True,,move,left
"[['x', '/', '/', '/', '/', '/', 'x', 'x', '/'], ['{', 'x', '/', '/', '/', 'x', 'x', '/', '#'], ['x', 'x', 'x', '#', '#', 'x', '#', 'x', '/'], ['/', 'x', 'x', 'x', 'x', 'x', 'x', '#', '/'], ['/', '/', '#', 'x', 'b', 'x', 'x', 'x', 'x'], ['/', '#', 'x', 'x', 'x', '#', 'x', 'x', '#'], ['/', 'x', 'x', '#', 'x', '#', '/', '/', 'x'], ['#', 'x', '/', '/', 'x', '/', '/', '/', '/'], ['x', '/', '/', 'x', 'x', 'b', '/', '/', '/']]","(7, 18)",True,,shoot,right
"[['x', '/', '/', '/', '/', '/', 'x', 'x', '/'], ['{', 'x', '/', '/', '/', 'x', 'x', '/', '#'], ['x', 'x', 'x', '#', '#', 'x', '#', 'x', '/'], ['/', 'x', 'x', 'x', 'x', 'x', 'x', '#', '/'], ['/', '/', '#', 'x', 'b', 'x', 'x', 'x', '.'], ['/', '#', 'x', 'x', 'x', '#', 'x', 'x', '#'], ['/', 'x', 'x', '#', 'x', '#', '/', '/', 'x'], ['#', 'x', '/', '/', 'x', '/', '/', '/', '/'], ['x', '/', '/', 'x', 'x', 'x', '/', '/', '/']]","(7, 18)",False,,move,right
"[['/', '/', '/', '/', 'x', 'x', '/', '/', '/'], ['x', '/', '/', '/', 'x', '/', '/', '#', '/'], ['x', 'x', '#', '#', 'x', '#', 'x', '/', '/'], ['x', 'x', 'x', 'x', 'x', 'x', '#', '/', '#'], ['/', '#', 'x', 'x', 'b', 'x', 'x', 'x', '#'], ['#', 'x', 'x', 'x', '#', 'x', 'x', '#', '/'], ['x', 'x', '#', '/', '/', '/', 'x', 'x', '/'], ['x', '/', 'x', '/', '/', '/', 'x', '#', 'x'], ['/', 'x', '/', '/', '/', '/', '/', 'x', '/']]","(8, 18)",False,,move,right
"[['/', '/', 'x', '/', '/', '/', '#', '/', '/'], ['/', '/', '#', 'x', '/', 'x', '/', '/', '/'], ['x', '#', '#', 'x', '#', 'x', '/', '/', '/'], ['x', 'x', 'x', 'x', 'x', '#', 'x', '#', '/'], ['#', 'x', 'x', 'x', 'b', 'x', 'x', '#', '/'], ['x', 'x', 'x', '#', 'x', 'x', '#', '/', 'x'], ['x', '/', '/', '#', 'x', 'x', 'x', '/', '/'], ['/', '/', '/', '/', 'x', 'x', '#', 'x', '/'], ['/', '/', '/', 'b', 'x', 'x', 'x', '/', 'x']]","(9, 18)",False,,move,right
"[['/', '/', '/', '/', '/', '/', '/', 'x', '/'], ['/', '#', '/', '/', '/', '/', 'x', '#', '/'], ['#', '#', 'x', '/', '/', '/', 'x', '/', '/'], ['x', 'x', 'x', 'x', '#', 'x', '#', '/', '/'], ['x', 'x', 'x', 'x', 'b', 'x', '#', '/', '/'], ['x', '/', '#', 'x', 'x', '#', 'x', 'x', '/'], ['/', '/', '#', 'x', 'x', 'x', '/', '/', 'x'], ['/', '/', '#', 'x', 'x', '#', '/', '/', '/'], ['/', '/', 'b', 'x', 'x', '/', '/', '/', '/']]","(10, 18)",True,,shoot,right
"[['/', '/', '/', '/', '/', '/', '/', 'x', '/'], ['/', '#', '/', '/', '/', '/', 'x', '#', '/'], ['#', '#', 'x', '/', '/', '/', 'x', '/', '/'], ['x', 'x', 'x', 'x', '#', 'x', '#', '/', '/'], ['x', 'x', 'x', 'x', 'b', 'x', '#', '/', '/'], ['x', '/', '#', 'x', 'x', '#', 'x', 'x', '/'], ['/', '/', '#', 'x', 'x', 'x', '/', '/', 'x'], ['/', '/', '#', 'x', 'x', '#', '/', '/', '/'], ['/', '/', 'b', 'x', 'x', '/', '/', '/', '/']]","(10, 18)",False,,move,right
